,q01,q25,q50,q75,q99,iqr,outlier_signal
Flow IAT Std,0.0,2.1213202476501465,17418.87890625,1898204.1875,37400000.0,1898202.0661797523,19.702854962785803
Fwd IAT Max,0.0,1.0,241.0,5230903.5,100000000.0,5230902.5,19.11715999294577
Flow IAT Max,3.0,449.0,59639.0,5469875.5,100000000.0,5469426.5,18.283452021889314
Bwd Header Length,0.0,32.0,60.0,136.0,1800.0,104.0,17.307692307692307
Subflow Bwd Packets,0.0,1.0,2.0,5.0,67.0,4.0,16.75
Total Backward Packets,0.0,1.0,2.0,5.0,67.0,4.0,16.75
Fwd Packet Length Max,0.0,20.0,43.0,274.0,4197.0,254.0,16.523622047244096
Fwd Packet Length Std,0.0,0.0,0.0,84.66822052001953,1275.9532470703125,84.66822052001953,15.07003736742781
Total Fwd Packets,1.0,2.0,2.0,6.0,54.0,4.0,13.25
Subflow Fwd Packets,1.0,2.0,2.0,6.0,54.0,4.0,13.25
Fwd Header Length,20.0,40.0,64.0,164.0,1472.0,124.0,11.709677419354838
Avg Bwd Segment Size,0.0,6.0,101.0,266.0,2898.75,260.0,11.149038461538462
Bwd Packet Length Mean,0.0,6.0,101.0,266.0,2898.75,260.0,11.149038461538462
Fwd Act Data Packets,0.0,0.0,1.0,3.0,31.0,3.0,10.333333333333334
Bwd Packet Length Std,0.0,0.0,0.0,437.593017578125,4413.2021484375,437.593017578125,10.085174971169634
Avg Packet Size,0.0,35.139610290527344,88.0,203.76922607421875,1454.125,168.6296157836914,8.623188715944593
Packet Length Mean,0.0,29.74193572998047,68.5999984741211,188.3333282470703,1292.5555419921875,158.59139251708984,8.150225062516563
Init Fwd Win Bytes,-1.0,-1.0,229.0,8192.0,65535.0,8193.0,7.999023556694739
Packet Length Std,0.0,8.763561248779297,37.5,410.2445983886719,3113.95263671875,401.4810371398926,7.75616367563014
Bwd Packet Length Max,0.0,6.0,110.0,1338.0,10135.0,1332.0,7.608858858858859
Packet Length Max,0.0,46.0,115.0,1430.0,10135.0,1384.0,7.3229768786127165
Down/Up Ratio,0.0,0.0,1.0,1.0,3.0,1.0,3.0
Bwd Packet Length Min,0.0,0.0,0.0,91.0,264.0,91.0,2.901098901098901
Fwd Packet Length Min,0.0,0.0,6.0,39.0,80.0,39.0,2.051282051282051
Packet Length Min,0.0,0.0,6.0,39.0,77.0,39.0,1.9743589743589745
Fwd Seg Size Min,20.0,20.0,20.0,32.0,40.0,12.0,1.6666666666666667
ACK Flag Count,0.0,0.0,0.0,1.0,1.0,1.0,1.0
PSH Flag Count,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Protocol,6.0,6.0,6.0,17.0,17.0,11.0,1.0
Fwd PSH Flags,0.0,0.0,0.0,0.0,1.0,0.0,
Bwd PSH Flags,0.0,0.0,0.0,0.0,0.0,0.0,
Fwd URG Flags,0.0,0.0,0.0,0.0,0.0,0.0,
Bwd URG Flags,0.0,0.0,0.0,0.0,0.0,0.0,
FIN Flag Count,0.0,0.0,0.0,0.0,1.0,0.0,
SYN Flag Count,0.0,0.0,0.0,0.0,1.0,0.0,
RST Flag Count,0.0,0.0,0.0,0.0,0.0,0.0,
URG Flag Count,0.0,0.0,0.0,0.0,1.0,0.0,
CWE Flag Count,0.0,0.0,0.0,0.0,0.0,0.0,
ECE Flag Count,0.0,0.0,0.0,0.0,0.0,0.0,
Fwd Avg Bytes/Bulk,0.0,0.0,0.0,0.0,0.0,0.0,
Fwd Avg Packets/Bulk,0.0,0.0,0.0,0.0,0.0,0.0,
Fwd Avg Bulk Rate,0.0,0.0,0.0,0.0,0.0,0.0,
Bwd Avg Bytes/Bulk,0.0,0.0,0.0,0.0,0.0,0.0,
Bwd Avg Packets/Bulk,0.0,0.0,0.0,0.0,0.0,0.0,
Bwd Avg Bulk Rate,0.0,0.0,0.0,0.0,0.0,0.0,
Active Mean,0.0,0.0,0.0,0.0,2999335.7,0.0,
Active Std,0.0,0.0,0.0,0.0,1320945.9925000004,0.0,
Active Max,0.0,0.0,0.0,0.0,4684378.720000009,0.0,
Active Min,0.0,0.0,0.0,0.0,2090976.8000000017,0.0,
Idle Mean,0.0,0.0,0.0,0.0,99900000.0,0.0,
Idle Std,0.0,0.0,0.0,0.0,33969878.48000313,0.0,
Idle Max,0.0,0.0,0.0,0.0,100000000.0,0.0,
Idle Min,0.0,0.0,0.0,0.0,99900000.0,0.0,
